0.212720, 0.592764, 0.126093, 0.045250, 0.351369,0.026823, 0.074743, 0.015899, 0.009626, 0.208279,0.343414
0.959320, 0.362766, 0.348009, 0.920295, 0.131599,0.333852, 0.126246, 0.121110, 0.882857, 0.047740,-0.068087
0.441272, 0.919140, 0.405590, 0.194721, 0.844818,0.178975, 0.372794, 0.164503, 0.085925, 0.776505,0.406698
0.125395, 0.787553, 0.098756, 0.015724, 0.620240,0.012384, 0.077775, 0.009753, 0.001972, 0.488471,0.470833
0.707564, 0.566776, 0.401030, 0.500647, 0.321235,0.283755, 0.227294, 0.160825, 0.354240, 0.182068,0.092004
0.807739, 0.615343, 0.497036, 0.652442, 0.378647,0.401475, 0.305848, 0.247045, 0.527003, 0.232997,-0.039059
0.352083, 0.167518, 0.058980, 0.123962, 0.028062,0.020766, 0.009880, 0.003479, 0.043645, 0.004701,0.090278
0.627134, 0.841271, 0.527590, 0.393297, 0.707738,0.330869, 0.443846, 0.278351, 0.246650, 0.595400,0.166350
0.394258, 0.650760, 0.256567, 0.155440, 0.423488,0.101154, 0.166964, 0.065827, 0.061283, 0.275589,0.322122
0.719230, 0.077414, 0.055678, 0.517292, 0.005993,0.040046, 0.004310, 0.003100, 0.372052, 0.000464,0.021477
0.245360, 0.999090, 0.245137, 0.060202, 0.998181,0.060147, 0.244914, 0.060092, 0.014771, 0.997273,0.565163
0.019228, 0.735225, 0.014137, 0.000370, 0.540555,0.000272, 0.010394, 0.000200, 0.000007, 0.397430,0.446788
0.305147, 0.957486, 0.292174, 0.093114, 0.916779,0.089156, 0.279752, 0.085365, 0.028414, 0.877803,0.513716
0.727388, 0.969698, 0.705347, 0.529094, 0.940315,0.513061, 0.683974, 0.497515, 0.384857, 0.911822,-0.073908
0.134864, 0.023268, 0.003138, 0.018188, 0.000541,0.000423, 0.000073, 0.000010, 0.002453, 0.000013,0.014373
0.606268, 0.347584, 0.210729, 0.367561, 0.120815,0.127758, 0.073246, 0.044407, 0.222841, 0.041993,0.128970
0.616032, 0.565588, 0.348420, 0.379495, 0.319890,0.214638, 0.197062, 0.121397, 0.233781, 0.180926,0.170383
0.710350, 0.057304, 0.040706, 0.504597, 0.003284,0.028915, 0.002333, 0.001657, 0.358441, 0.000188,0.015270
0.484728, 0.835746, 0.405109, 0.234961, 0.698471,0.196368, 0.338568, 0.164113, 0.113892, 0.583744,0.338814
0.844857, 0.192292, 0.162459, 0.713783, 0.036976,0.137255, 0.031240, 0.026393, 0.603044, 0.007110,0.031169
0.402521, 0.652595, 0.262683, 0.162023, 0.425881,0.105736, 0.171426, 0.069003, 0.065218, 0.277928,0.319593
0.807635, 0.754604, 0.609445, 0.652274, 0.569427,0.492209, 0.459889, 0.371423, 0.526799, 0.429692,-0.115130
0.820114, 0.434769, 0.356560, 0.672586, 0.189024,0.292419, 0.155021, 0.127135, 0.551597, 0.082182,0.015601
0.595876, 0.214372, 0.127739, 0.355068, 0.045955,0.076117, 0.027384, 0.016317, 0.211576, 0.009852,0.085227
0.085528, 0.315106, 0.026950, 0.007315, 0.099292,0.002305, 0.008492, 0.000726, 0.000626, 0.031287,0.194528
